Ticker 1,Ticker 2,Correlation Value
HD,MSFT,0.38692500913561745
IBM,JPM,0.3867822557477403
HD,HON,0.38665949319297577
MCD,MSFT,0.38450368720630074
HON,V,0.38198911313607536
HON,MSFT,0.37938761633778384
HD,UNH,0.3792790960358711
MMM,PG,0.37836672112667646
DIS,MCD,0.37595092031202043
BA,MCD,0.3754108109038511
MMM,VZ,0.3744904034960385
CSCO,HD,0.3726647588495885
JNJ,WMT,0.37181448795801947
AXP,IBM,0.3712763558498776
TRV,V,0.37056663057653144
HD,MCD,0.3704864747763458
HON,KO,0.3693395290394347
BA,TRV,0.3684889363866131
IBM,VZ,0.367761379515192
GS,MCD,0.36750191427757267
TRV,UNH,0.36679032013557117
HD,MMM,0.3659649476912027
GS,V,0.3644012185255702
AMGN,CSCO,0.36354409255673786
AXP,MMM,0.3633910897502736
AAPL,NKE,0.36198795826770425
BA,CVX,0.36117503600129636
TRV,WBA,0.3590597617654861
BA,V,0.3577717117838131
AAPL,UNH,0.3541184408748494
AMGN,MMM,0.35360714856085196
MSFT,UNH,0.35273984257276725
HD,NKE,0.35191130179967733
CSCO,JPM,0.35143506377664135
CVX,JPM,0.3512126949454605
CRM,DIS,0.35092858919889725
AXP,CVX,0.3505369124092302
CRM,CSCO,0.35010103164559264
CAT,IBM,0.349856732483907
MMM,UNH,0.3466159817029211
AMGN,KO,0.346574076674706
PG,TRV,0.34620419429747235
CVX,MMM,0.34620360159588204
CRM,V,0.3460350311154338
CVX,IBM,0.34436780278822277
MCD,WBA,0.34286137396308014
AMGN,UNH,0.34257826196449775
CSCO,WMT,0.3423481263209935
CSCO,TRV,0.3410031209529798
DIS,DOW,0.33998541955665035
AAPL,HON,0.33835893672530576
IBM,TRV,0.3375913666674544
MCD,PG,0.3374284045121088
UNH,WMT,0.337182567783234
CSCO,WBA,0.3362004226425488
AAPL,DIS,0.3346290846128265
HON,NKE,0.33337500304132156
CSCO,DIS,0.33271318463890087
CSCO,V,0.3314268800210832
GS,WBA,0.33081699455966607
AMGN,PG,0.3281484268243603
DIS,MSFT,0.3275967917330326
NKE,V,0.3271188166782844
IBM,JNJ,0.3264481450817817
CSCO,JNJ,0.3264298143507699
HON,UNH,0.32479272504521367
CSCO,GS,0.3245321945607771
HON,VZ,0.3242667170893289
AXP,NKE,0.32310546880050695
CRM,NKE,0.3225235857336831
CSCO,DOW,0.32248207235116116
KO,WBA,0.3217869929874488
HD,WMT,0.3212076996250162
DIS,NKE,0.32099240227320364
DOW,V,0.31928100729768233
CRM,INTC,0.3191783682546845
DOW,VZ,0.31915401004435995
AMGN,WBA,0.3182733523794821
BA,MMM,0.31817130624422285
CAT,INTC,0.31800595639427903
JNJ,MRK,0.31501083185278234
JNJ,TRV,0.3149117690608102
JPM,VZ,0.31286913876304046
CSCO,VZ,0.31272181429921614
MCD,VZ,0.31132220473571165
DIS,TRV,0.31126931500179006
BA,INTC,0.31042905684500977
GS,IBM,0.30891733755948386
AAPL,GS,0.3081366746577232
GS,NKE,0.30765200481098476
CRM,HON,0.3073831491758908
DIS,INTC,0.307110376181451
AAPL,AXP,0.3070556212918883
CSCO,NKE,0.30640364025808503
HON,IBM,0.3057309103028584
MCD,WMT,0.3056861960762828
AMGN,VZ,0.3055792497028361
AMGN,MRK,0.3024993668927771
IBM,WBA,0.30128866545969096
AXP,CSCO,0.3010799632996296
JPM,NKE,0.2997203660340021
AXP,KO,0.2990551907360887
IBM,V,0.2967609171035273
MCD,UNH,0.295651971277071
MCD,NKE,0.2950674378404243
CVX,HON,0.2934332718524834
IBM,KO,0.29238629187679205
CAT,DIS,0.2919026306643479
UNH,WBA,0.291348875124499
HD,JPM,0.29084973188273167
AMGN,HON,0.2898261585499208
INTC,MCD,0.28851391852711233
PG,WBA,0.28613104264123324
BA,NKE,0.28509855844758547
AAPL,BA,0.28507366021942804
CSCO,IBM,0.283680986793083
AAPL,AMGN,0.28131358209821206
VZ,WBA,0.2798641824465849
UNH,VZ,0.27799018401496833
JPM,KO,0.2764417167205076
JPM,WBA,0.27642127518628473
BA,IBM,0.2759002559735452
VZ,WMT,0.275637387787651
INTC,WBA,0.2749872694360028
AMGN,MCD,0.27252294904782226
GS,HD,0.27191449284598784
DIS,MMM,0.267786575154322
HON,WMT,0.2672159831686553
KO,V,0.266975309581625
HD,TRV,0.26601260781848324
INTC,MMM,0.26537548041972836
JPM,UNH,0.2651767822788214
HD,WBA,0.26474068167302106
JNJ,WBA,0.264326089335405
HD,KO,0.2639525745032564
GS,UNH,0.26353900188147933
AMGN,IBM,0.261699879461394
DOW,NKE,0.26154253567087327
MMM,WMT,0.26139888780375237
AMGN,MSFT,0.26130053681501275
DOW,INTC,0.2606941386580234
UNH,V,0.2598423557375905
AXP,UNH,0.2595089649402511
BA,CRM,0.25839423575734966
AAPL,KO,0.2582744998336023
KO,MSFT,0.2560225330227858
HD,PG,0.2557012334085861
GS,INTC,0.2545283144063632
MMM,NKE,0.25426527944964067
DIS,HD,0.2538598115523632
AMGN,DOW,0.2536394677303316
AXP,MSFT,0.25123202522288823
INTC,V,0.24723735574245975
CVX,WBA,0.245993973522577
AXP,CRM,0.24520891066355335
AAPL,JPM,0.2443795422018109
HON,JNJ,0.24432915633760427
AXP,WBA,0.24389108537415174
IBM,MCD,0.24163528900545972
IBM,PG,0.24163073757353862
AMGN,TRV,0.24123044178653055
NKE,TRV,0.23982445184127285
HD,V,0.2392361568250874
IBM,UNH,0.23877018671403444
GS,MSFT,0.23755083068283164
AAPL,WBA,0.2366952746223078
DOW,MCD,0.23593493598743487
JNJ,MCD,0.23531597039294624
GS,KO,0.23528563932828236
DIS,WBA,0.23381981040329658
INTC,JPM,0.23377850538799863
CRM,MCD,0.23272844702662482
NKE,UNH,0.23120634792107245
MMM,V,0.23078801229486215
HD,INTC,0.2307503413945812
BA,CSCO,0.23073929371781096
CRM,GS,0.22991612397999872
TRV,WMT,0.22847783293835547
V,VZ,0.2276404890003209
CAT,MCD,0.2269979508915887
GS,VZ,0.22568456146267135
HD,JNJ,0.2256447732385242
AXP,INTC,0.2235257703559364
AMGN,INTC,0.22263388564194198
AAPL,WMT,0.22174022736020788
AXP,HD,0.22086978200769164
DOW,KO,0.21914447981478916
CRM,HD,0.21697458635564743
BA,HD,0.21409040290931355
MRK,VZ,0.21355285559174014
DOW,UNH,0.2127521517137041
KO,MRK,0.21184453492560518
DOW,JNJ,0.21136199154140886
V,WBA,0.2099074136198366
CAT,HD,0.2059994527702578
AMGN,WMT,0.20543677760116755
PG,V,0.20543262221026806
IBM,INTC,0.20530459900142448
INTC,UNH,0.2013836750866909
NKE,PG,0.1984065391788092
AAPL,MMM,0.1983020824946503
CVX,INTC,0.1980275928830602
AAPL,DOW,0.19605617016241103
DIS,KO,0.19599004181486726
AMGN,CAT,0.1956686609201892
BA,MSFT,0.19483316250214777
HON,PG,0.19475856869659644
DOW,HD,0.19334791836557758
CAT,V,0.19301009976147607
INTC,NKE,0.19252503700579518
JNJ,JPM,0.19035345094971062
CAT,CSCO,0.18989680909626086
INTC,KO,0.18822261520187455
DIS,IBM,0.18712350812675083
MSFT,WBA,0.1859686044492705
AXP,VZ,0.18588098059045116
CVX,VZ,0.1832138701485843
AMGN,HD,0.1831468778143564
MSFT,PG,0.1829762058189325
CVX,JNJ,0.18026526876847337
JNJ,V,0.1802594810625301
CAT,MRK,0.17916823126959575
AMGN,V,0.1789033484631662
CRM,UNH,0.1781638462603217
DOW,WMT,0.17643614978706199
DIS,VZ,0.17506039058679532
GS,WMT,0.17465111400000044
KO,NKE,0.17366015738657625
CVX,DIS,0.17164561522760605
CRM,JPM,0.17075399211261758
INTC,TRV,0.16826255117170807
CAT,VZ,0.16801506863972085
MRK,WMT,0.1670043417631422
MRK,PG,0.16499863634554754
JPM,MSFT,0.16463556417301223
NKE,WBA,0.16444696308786594
GS,JNJ,0.16268335974315704
CSCO,MRK,0.16179199201857103
BA,KO,0.1617833605346816
DIS,UNH,0.1611444184395166
MMM,MRK,0.1590644351871514
CVX,MRK,0.15837098179587206
MRK,UNH,0.15831019650785041
CSCO,CVX,0.15806534519039525
MMM,MSFT,0.15743334851356225
AMGN,JPM,0.15737409195455165
AAPL,PG,0.1560207428422635
MSFT,WMT,0.1526302383292148
HD,IBM,0.15160543290467993
AXP,JNJ,0.1508471280034528
AAPL,JNJ,0.1506530976395936
HON,MRK,0.14963045921410964
AAPL,IBM,0.14875275636227533
MRK,TRV,0.1473780048749902
CAT,JNJ,0.14669462037762396
CAT,NKE,0.1466806767141972
AAPL,TRV,0.14587358247951063
CVX,V,0.13884267470347464
JPM,PG,0.1381653020952766
JPM,MRK,0.1376301911205166
MRK,WBA,0.13739750403309525
AMGN,AXP,0.13586691353113214
CAT,UNH,0.13443824150802305
DOW,MRK,0.1301588696163739
CVX,KO,0.12690441885411025
AMGN,GS,0.1267055660337565
MCD,MRK,0.12352128094244158
DOW,PG,0.12234830613602858
JPM,WMT,0.12169029465350727
CRM,WBA,0.12099414468645904
MSFT,TRV,0.11788273106505674
V,WMT,0.11521111843143336
CVX,UNH,0.11470021364879665
DOW,MSFT,0.1145154369094446
JNJ,MSFT,0.11387895580195995
CRM,MMM,0.11314459120228723
HD,VZ,0.11287287813630449
AMGN,CVX,0.1126158307148159
GS,PG,0.10883675698691249
BA,VZ,0.10634247752990672
NKE,WMT,0.10399732712685811
AMGN,NKE,0.10390507652917956
IBM,MRK,0.10357770275721855
CRM,DOW,0.10350799277138609
BA,WMT,0.10323612080935869
IBM,NKE,0.10262887031759348
CVX,MCD,0.10141943227826306
IBM,WMT,0.10002957582380759
AMGN,BA,0.09991441531595872
AXP,PG,0.09792074781263715
AAPL,CAT,0.09577481677505417
CRM,WMT,0.09505203142776777
BA,UNH,0.09378013545693675
CAT,KO,0.09352526354910212
INTC,WMT,0.09303301026486478
CRM,KO,0.09042601831506483
JNJ,NKE,0.08821911747864927
AMGN,DIS,0.08808512949752145
INTC,VZ,0.08729608816632728
AMGN,CRM,0.08354331724364739
CVX,HD,0.08352243574662742
AAPL,MRK,0.08151445283179512
INTC,JNJ,0.08065788038552532
DIS,WMT,0.07183745262457107
MSFT,VZ,0.06886879923549682
CVX,NKE,0.06832426710150626
CAT,WMT,0.06627179906084425
MRK,MSFT,0.06590204286439216
BA,JNJ,0.05394991489779487
CVX,WMT,0.051924240084345596
GS,MRK,0.0515722945428166
IBM,MSFT,0.050516547386967085
CAT,MSFT,0.0494300832964971
CVX,PG,0.04770868474885657
MRK,V,0.0476092599796301
HD,MRK,0.04495418144218707
AXP,MRK,0.04150629850054334
BA,PG,0.041244111849374564
CRM,JNJ,0.040374379959462435
CAT,PG,0.03684923647584846
CVX,MSFT,0.035981684032257336
CRM,IBM,0.033506212061033096
NKE,VZ,0.03325674295348399
AAPL,CVX,0.031729325318260046
CRM,VZ,0.02673930169623061
AXP,WMT,0.026565465207708847
DIS,JNJ,0.025215803917594922
CRM,CVX,0.024785065543398297
CAT,CRM,0.021922418467193405
BA,MRK,0.019978460370568246
DIS,PG,0.019533454682924802
CRM,TRV,0.018244077086514248
DIS,MRK,0.011459096166253424
AAPL,VZ,0.008108992524431726
CRM,PG,0.006297892653817849
INTC,MRK,0.005308756911641499
MRK,NKE,0.0030399442054529374
INTC,PG,0.0017652866185344882
CRM,MRK,0.0006930055773886416
